Longitude,Latitude,val
126.3814939,35.1687513,240.0
126.3906958,35.1526854,404.0
126.3914506,35.1651282,297.0
126.3926877,35.1377823,429.0
126.3946664,35.1540774,404.0
126.4035059,35.1381408,673.0
126.4038715,35.1711673,305.0
126.4078648,35.1549492,614.0
126.4087319,35.1552274,622.0
126.411034,35.1604384,592.0
126.4141447,35.1455488,795.0
126.4175541,35.1588662,610.0
126.4180827,35.1516896,713.0
126.4192504,35.1402824,774.0
126.4203866,35.1249728,733.0
126.4207101,35.126403,742.0
126.423029,35.1693596,349.0
126.423751,35.1320744,752.0
126.4240236,35.1235357,688.0
126.4250877,35.1270178,739.0
126.4252432,35.1199048,631.0
126.4254884,35.1197629,631.0
126.4281366,35.1636431,475.0
126.4282972,35.1119618,396.0
126.4286797,35.1105566,376.0
126.4291427,35.1098976,367.0
126.4293522,35.1301503,731.0
126.43261,35.1234325,740.0
126.4421018,35.1374165,692.0
126.4455003,35.1074305,657.0
126.4483367,35.1759949,141.0
126.4493585,35.083535,439.0
126.4559748,35.1360393,634.0
126.4569913,35.1353269,661.0
126.4580908,35.1041707,685.0
126.4587592,35.1838172,143.0
126.4604769,35.120408,698.0
126.4605073,35.170763,256.0
126.4612289,35.0844298,608.0
126.4613068,35.0787046,519.0
126.4613937,35.0819632,576.0
126.4614277,35.1650233,377.0
126.4627998,35.1846671,143.0
126.4630311,35.0953859,726.0
126.463403,35.094984,727.0
126.4636507,35.1452159,477.0
126.463956,35.17876,208.0
126.4640578,35.0926841,768.0
126.466155,35.1135568,689.0
126.46639,35.0992619,817.0
126.4678568,35.1032932,823.0
126.468469,35.1503181,487.0
126.4694817,35.1314579,549.0
126.4700164,35.1222092,693.0
126.4707675,35.1692895,413.0
126.4715138,35.0936851,899.0
126.4715871,35.168896,413.0
126.4731049,35.0395362,318.0
126.4737373,35.0358829,288.0
126.4738408,35.1393283,542.0
126.4743039,35.1397956,572.0
126.4747962,35.0967369,986.0
126.4754481,35.0958852,974.0
126.4757966,35.1104489,824.0
126.4765631,35.1546357,479.0
126.4769966,35.0664498,607.0
126.4772149,35.173068,415.0
126.4777343,35.0793266,775.0
126.4779128,35.0358723,399.0
126.478733,35.1885655,183.0
126.4787443,35.0586417,621.0
126.4793949,35.1823817,302.0
126.4809484,35.1587756,455.0
126.4813831,35.0492134,514.0
126.4825363,35.0380042,487.0
126.4827498,35.0375427,501.0
126.4835643,35.0826373,930.0
126.4835908,35.0557775,993.0
126.4839701,35.0771802,918.0
126.4839848,35.1085525,833.0
126.4840516,35.1312938,679.0
126.4843171,35.1118149,833.0
126.485918,35.15013,484.0
126.4860008,35.0470105,766.0
126.4863069,35.12207,702.0
126.4864019,35.0408944,606.0
126.4872161,35.1360223,620.0
126.4874051,35.1186839,782.0
126.4884847,35.1853635,262.0
126.4895783,35.0252154,647.0
126.4899344,35.0779667,1761.0
126.4903346,35.0523067,1717.0
126.4904544,35.0976495,1139.0
126.4904675,35.0744446,2012.0
126.491156,35.1087348,968.0
126.491231,35.0604805,1903.0
126.4930512,35.0262582,719.0
126.4932625,35.0286611,740.0
126.4937383,35.1320151,603.0
126.4937837,35.1660537,460.0
126.4941341,35.0399253,883.0
126.49443,35.0632712,1934.0
126.4950317,35.147161,538.0
126.4959485,35.1532167,480.0
126.4969526,35.154355,486.0
126.4970335,35.118499,705.0
126.4971856,35.1425188,615.0
126.4976917,35.1563597,486.0
126.4987547,35.1554954,486.0
126.4987796,35.0708333,2110.0
126.4995969,35.0891254,1283.0
126.5001101,35.1234251,658.0
126.5001128,35.0371448,1050.0
126.5001566,35.1695731,421.0
126.5016465,35.0818102,2187.0
126.5031428,35.043699,2043.0
126.5035543,35.0200489,1141.0
126.5046271,35.011073,1024.0
126.5047999,35.1516363,448.0
126.5051519,35.1215411,625.0
126.5053179,35.1653087,408.0
126.5059376,35.0996953,882.0
126.5064611,35.0741117,2337.0
126.5070487,35.118392,659.0
126.5070496,35.0464908,2211.0
126.5092234,35.1787346,310.0
126.5093486,35.0540562,2263.0
126.5100666,35.1004303,757.0
126.5100758,35.0266847,1385.0
126.5105743,35.0439022,2268.0
126.511119,35.1040161,703.0
126.5134015,35.0338859,1619.0
126.5136134,35.054433,2327.0
126.513645,35.0011805,989.0
126.513762,35.090614,1890.0
126.5138872,35.176579,265.0
126.5144717,35.0927814,1246.0
