Longitude,Latitude,layer_2,val,fid
126.6014795,35.1785136,함평250,553.0,91589
126.6015162,35.1511743,함평250,182.0,93564
126.6018531,35.182528,함평250,540.0,93772
126.6024431,35.1227609,함평250,170.0,89034
126.6026001,35.1810935,함평250,546.0,92888
126.6027224,35.1792688,함평250,553.0,96413
126.6029113,35.2024193,함평250,212.0,95408
126.6029188,35.1865882,함평250,433.0,93092
126.603493,35.175812,함평250,505.0,93702
126.6037992,35.1044277,함평250,143.0,84042
126.604409,35.2091002,함평250,138.0,92430
126.604837,35.1388939,함평250,129.0,88572
126.6048645,35.1810447,함평250,515.0,14105
126.6053629,35.1320295,함평250,120.0,84608
126.6053791,35.1278928,함평250,108.0,84928
126.6058285,35.1568097,함평250,206.0,89430
126.6059611,35.1733491,함평250,464.0,91187
126.6064764,35.1753822,함평250,499.0,90919
126.6067744,35.2121361,함평250,143.0,95341
126.6072088,35.1659048,함평250,178.0,89694
126.6074365,35.1617568,함평250,179.0,89760
126.6075909,35.1893965,함평250,351.0,91254
126.6078256,35.1025568,함평250,94.0,83979
126.6082581,35.1147292,함평250,235.0,86790
126.6085168,35.1140904,함평250,251.0,92032
126.6087903,35.2212412,함평250,120.0,94805
126.6097427,35.1110218,함평250,280.0,90942
126.6102768,35.1851207,함평250,433.0,88595
126.6103205,35.1135594,함평250,251.0,89556
126.6107934,35.2005631,함평250,211.0,97552
126.6109218,35.1124034,함평250,508.0,67603
126.6109471,35.1948278,함평250,183.0,97980
126.6112445,35.199867,함평250,192.0,95073
126.611563,35.1792047,함평250,462.0,91455
126.6115692,35.1824649,함평250,473.0,92752
126.6136773,35.2096582,함평250,161.0,94939
126.6145892,35.1985182,함평250,185.0,97842
126.6152367,35.1001512,함평250,66.0,88440
126.6166939,35.1126373,함평250,221.0,86856
126.6176914,35.1991592,함평250,166.0,95207
126.6177253,35.1103442,함평250,213.0,89828
126.6177843,35.1406827,함평250,87.0,88708
126.6181053,35.2056447,함평250,212.0,94872
126.6185109,35.1476864,함평250,94.0,89512
126.6187066,35.1545425,함평250,178.0,86970
126.6200323,35.1575411,함평250,196.0,91410
126.6211642,35.2145136,함평250,138.0,83367
126.6212632,35.2137149,함평250,125.0,82012
126.6218147,35.1355368,함평250,94.0,88775
126.6236609,35.1601999,함평250,184.0,92661
126.6236849,35.1626203,함평250,178.0,92728
126.6242226,35.2183764,함평250,72.0,57851
126.6258884,35.1398663,함평250,84.0,91701
126.6266148,35.1390823,함평250,84.0,94380
126.6269136,35.2056557,함평250,133.0,91455
126.6269248,35.1442794,함평250,103.0,91120
126.6273372,35.2140899,함평250,108.0,64952
126.6274236,35.1893787,함평250,251.0,96462
126.627425,35.1585318,함평250,199.0,93976
126.6276395,35.1262144,함평250,54.0,90304
126.6284738,35.2148148,함평250,108.0,65430
126.6295617,35.1181537,함평250,87.0,91908
126.6296894,35.2091393,함평250,127.0,76140
126.6299801,35.1659275,함평250,168.0,88768
126.6304297,35.1638595,함평250,207.0,96030
126.6308586,35.1554908,함평250,185.0,92527
126.6317692,35.1105243,함평250,60.0,92115
126.6318217,35.2125056,함평250,108.0,61996
126.6334105,35.2095148,함평250,99.0,66176
126.6344733,35.119252,함평250,64.0,89177
126.6344941,35.1906466,함평250,268.0,94001
126.6359487,35.1997873,함평250,109.0,94068
126.6384579,35.1895159,함평250,224.0,93934
126.6386576,35.1384836,함평250,70.0,91528
126.639328,35.1882385,함평250,267.0,93867
126.6400191,35.198025,함평250,94.0,87172
126.6407049,35.1614613,함평250,106.0,88704
126.6410281,35.1737008,함평250,230.0,94452
126.6426041,35.2056686,함평250,84.0,54795
126.6427455,35.1645533,함평250,112.0,95772
126.6437697,35.1410674,함평250,76.0,84735
126.6459651,35.1479116,함평250,49.0,78470
126.6465504,35.173876,함평250,88.0,97920
126.6495077,35.1838809,함평250,106.0,90350
