fid,시도명,시군구명,읍면명,회관명,소재지,Latitude,Longitude,규모(제곱미터),데이터기준일자,ringId,distance,NUMPOINTS
"63",전라남도,담양군,봉산면,봉학 마을회관,전라남도 봉산면 와우3리 332-5,35.2762079,126.9569166,41.88,2022/05/27,"1",1000.000000,4
"64",전라남도,담양군,봉산면,삼지 마을회관,전라남도 봉산면 삼지리 430,35.2681311,126.9390882,100,2022/05/27,"1",1000.000000,4
"65",전라남도,담양군,고서면,교촌 마을회관,전라남도 고서면 교산1리 403-39,35.215902,126.9823096,77,2022/05/27,"1",1000.000000,2
"66",전라남도,담양군,고서면,하북산 마을회관,전라남도 고서면 교산2리 200-8,35.215902,126.9823096,83.82,2022/05/27,"1",1000.000000,2
"67",전라남도,담양군,고서면,장성물 마을회관,전라남도 고서면 교산2리 304-2,35.215902,126.9823096,81.9,2022/05/27,"1",1000.000000,2
"68",전라남도,담양군,고서면,덕촌 마을회관,전라남도 고서면 고읍1리 512-4,35.2235263,126.9731564,99.69,2022/05/27,"1",1000.000000,9
"69",전라남도,담양군,고서면,신양 마을회관,전라남도 고서면 고읍2리 395-5,35.2235263,126.9731564,83.16,2022/05/27,"1",1000.000000,9
"70",전라남도,담양군,고서면,잣정 마을회관,전라남도 고서면 분향1리 273-2,35.2235263,126.9731564,102.11,2022/05/27,"1",1000.000000,9
"71",전라남도,담양군,고서면,용대 마을회관,전라남도 고서면 분향2리 131-9,35.2235263,126.9731564,86.53,2022/05/27,"1",1000.000000,9
"72",전라남도,담양군,고서면,운현 마을회관,전라남도 고서면 금현2리 175-1,35.2235263,126.9731564,97.29,2022/05/27,"1",1000.000000,9
"73",전라남도,담양군,고서면,노채 마을회관,전라남도 고서면 금현3리 83,35.2235263,126.9731564,76.14,2022/05/27,"1",1000.000000,9
"74",전라남도,담양군,고서면,금단동 마을회관,전라남도 고서면 금현2리 408-1,35.2235263,126.9731564,77.85,2022/05/27,"1",1000.000000,9
"75",전라남도,담양군,고서면,성산 마을회관,전라남도 고서면 성월1리 51-1,35.2183647,126.9788511,100.98,2022/05/27,"1",1000.000000,7
"76",전라남도,담양군,고서면,월천 마을회관,전라남도 고서면 성월3리 875-4,35.2219692,126.9789421,72.74,2022/05/27,"1",1000.000000,7
"77",전라남도,담양군,고서면,검단 마을회관,전라남도 고서면 성월4리 820-1,35.2217038,126.9789993,78.21,2022/05/27,"1",1000.000000,7
"78",전라남도,담양군,고서면,해평 마을회관,전라남도 고서면 성월5리 348-29,35.217248,126.977227,84.48,2022/05/27,"1",1000.000000,5
"79",전라남도,담양군,고서면,내보 마을회관,전라남도 고서면 보촌1리 136-4,35.2232895,126.9552842,86.49,2022/05/27,"1",1000.000000,6
"80",전라남도,담양군,고서면,외보 마을회관,전라남도 고서면 보촌2리 543,35.2232895,126.9552842,89.49,2022/05/27,"1",1000.000000,6
"81",전라남도,담양군,고서면,주평 마을회관,전라남도 고서면 주산1리 598-1,35.2434817,126.9654772,95.99,2022/05/27,"1",1000.000000,1
"82",전라남도,담양군,고서면,노안등 마을회관,전라남도 고서면 주산1리 514-4,35.2434817,126.9654772,84.1,2022/05/27,"1",1000.000000,1
"83",전라남도,담양군,고서면,주산 마을회관,전라남도 고서면 주산2리 275,35.2346773,126.9669217,69,2022/05/27,"1",1000.000000,0
"84",전라남도,담양군,고서면,장산 마을회관,전라남도 고서면 주산3리 398,35.2346773,126.9669217,83.3,2022/05/27,"1",1000.000000,0
"85",전라남도,담양군,고서면,원유동 마을회관,전라남도 고서면 원강1리 424-1,35.2235263,126.9731564,109.12,2022/05/27,"1",1000.000000,9
"86",전라남도,담양군,고서면,분토동 마을회관,전라남도 고서면 원강3리 587-3,35.2235263,126.9731564,78.98,2022/05/27,"1",1000.000000,9
"87",전라남도,담양군,고서면,동산촌 마을회관,전라남도 고서면 동운1리 765,35.2235263,126.9731564,129.51,2022/05/27,"1",1000.000000,9
"88",전라남도,담양군,고서면,운교 구름다리 마을회관,전라남도 고서면 동운2리 335-1,35.2235263,126.9731564,85.96,2022/05/27,"1",1000.000000,9
"89",전라남도,담양군,고서면,원등 마을회관,전라남도 고서면 동운3리 1308-1,35.2235263,126.9731564,82.97,2022/05/27,"1",1000.000000,9
"90",전라남도,담양군,고서면,상덕 마을회관,전라남도 고서면 산덕1리 112-14,35.2263654,126.992837,98.67,2022/05/27,"1",1000.000000,6
"91",전라남도,담양군,고서면,후산 마을회관,전라남도 고서면 산덕2리 432-2,35.2235263,126.9731564,101.09,2022/05/27,"1",1000.000000,9
"92",전라남도,담양군,가사문학면,지실 마을회관,전라남도 가사문학면 지곡1리 262,35.1774663,127.0278708,61.56,2022/05/27,"1",1000.000000,4
"93",전라남도,담양군,가사문학면,지석 마을회관,전라남도 가사문학면 지곡2리 78-4,35.1774663,127.0278708,141,2022/05/27,"1",1000.000000,4
"94",전라남도,담양군,가사문학면,연천 마을회관,전라남도 가사문학면 연천1리 160-4,35.177192,127.02789,72.8,2022/05/27,"1",1000.000000,4
"95",전라남도,담양군,가사문학면,반석 마을회관,전라남도 가사문학면 연천2리 291-1,35.177192,127.02789,72.8,2022/05/27,"1",1000.000000,4
"96",전라남도,담양군,가사문학면,정곡 마을회관,전라남도 가사문학면 정곡1리 383-1,35.1634148,127.0310274,83.82,2022/05/27,"1",1000.000000,0
"97",전라남도,담양군,가사문학면,사봉실 마을회관,전라남도 가사문학면 정곡1리 189,35.1634148,127.0310274,72.45,2022/05/27,"1",1000.000000,0
"98",전라남도,담양군,가사문학면,시문 마을회관,전라남도 가사문학면 정곡2리 103,35.1634148,127.0310274,88.26,2022/05/27,"1",1000.000000,0
"99",전라남도,담양군,가사문학면,경상 마을회관,전라남도 가사문학면 경상리 291,35.1610048,127.0408029,78.72,2022/05/27,"1",1000.000000,0
"100",전라남도,담양군,가사문학면,무동 마을회관,전라남도 가사문학면 무동리 338,35.137669,127.0437158,73.44,2022/05/27,"1",1000.000000,0
"101",전라남도,담양군,가사문학면,만월 마을회관,전라남도 가사문학면 만월1리 389,35.1774663,127.0278708,88.5,2022/05/27,"1",1000.000000,4
"102",전라남도,담양군,가사문학면,용연 마을회관,전라남도 가사문학면 만월2리 121-3,35.1774663,127.0278708,88.2,2022/05/27,"1",1000.000000,4
"103",전라남도,담양군,가사문학면,구산 마을회관,전라남도 가사문학면 구산1리 105-3,35.1774663,127.0278708,91.38,2022/05/27,"1",1000.000000,4
"104",전라남도,담양군,가사문학면,장단 마을회관,전라남도 가사문학면 구산2리 315,35.1774663,127.0278708,80.46,2022/05/27,"1",1000.000000,4
"105",전라남도,담양군,가사문학면,인암 마을회관,전라남도 가사문학면 인암리 91,35.1405741,127.0678862,84.99,2022/05/27,"1",1000.000000,0
"106",전라남도,담양군,가사문학면,자창 마을회관,전라남도 가사문학면 가암1리 232-4,35.1774663,127.0278708,70.47,2022/05/27,"1",1000.000000,4
