fid,마을회관명,소재지도로명주소,Latitude,Longitude,회원수,대표자,대지면적,건축면적,데이터기준일자,ringId,distance,NUMPOINTS
"15",송도,전라남도 신안군 지도읍 송도1길 11,35.0520486,126.2034901,"38",김정웅,132,50,2021/11/11,"1",1000.000000,0
"16",오룡,전라남도 신안군 지도읍 동천길 983,35.0504674,126.2448382,"27",박귀암,395,73.14,2021/11/11,"1",1000.000000,6
"17",내도,전라남도 신안군 지도읍 내도길 170,35.0226355,126.1900921,"22",신영길,661,72.78,2021/11/11,"1",1000.000000,2
"18",효지,전라남도 신안군 지도읍 효지길 31-4,35.0505682,126.2526923,"53",윤봉규,249,68.68,2021/11/11,"1",1000.000000,9
"19",원광정,전라남도 신안군 지도읍 원광정길 38,35.0620792,126.2132499,"32",주경범,661,83.12,2021/11/11,"1",1000.000000,0
"20",적거,전라남도 신안군 지도읍 적거길 77-5,35.0637481,126.2275408,"41",최무송,681,93.69,2021/11/11,"1",1000.000000,0
"21",장동,전라남도 신안군 지도읍 장안길 36,35.0779126,126.2116143,"43",양정석,783,92.04,2021/11/11,"1",1000.000000,0
"22",묘동,전라남도 신안군 지도읍 묘동길 42-2,35.0443317,126.1586569,"28",홍점표,175,63.75,2021/11/11,"1",1000.000000,3
"23",서동,전라남도 신안군 지도읍 서동길 10,35.1022847,126.1859629,"48",임홍빈,691,83.05,2021/11/11,"1",1000.000000,11
"24",자동1,전라남도 신안군 지도읍 원자동길 18-11,35.0586283,126.2507273,"44",이평중,329,99.12,2021/11/11,"1",1000.000000,7
"25",어의1,전라남도 신안군 지도읍 어의길 107,35.1405201,126.1910848,"34",박래정,450,100.68,2021/11/11,"1",1000.000000,0
"26",누동,전라남도 신안군 지도읍 누동길 14,35.0356062,126.2673817,"59",조만경,282,55.05,2021/11/11,"1",1000.000000,4
"27",금출,전라남도 신안군 지도읍 금출길 3-1,35.0871691,126.1736014,"34",김종례,439,106.78,2021/11/11,"1",1000.000000,2
"28",연화,전라남도 신안군 지도읍 연화동길 27-16,35.0296692,126.2591935,"30",김창형,774,85,2021/11/11,"1",1000.000000,4
"29",매계,전라남도 신안군 지도읍 매계길 118,34.9794746,126.2581125,"21",박옥재,524,84.65,2021/11/11,"1",1000.000000,0
"30",자서,전라남도 신안군 지도읍 자서길 44,35.0562585,126.2455966,"41",최종백,390,92.06,2021/11/11,"1",1000.000000,8
"31",가정,전라남도 신안군 지도읍 가정길 103-9,35.0989359,126.2231692,"22",박철진,879,95.45,2021/11/11,"1",1000.000000,3
"32",조비,전라남도 신안군 지도읍 조비길 17,35.0767122,126.174068,"40",양회환,526,93.09,2021/11/11,"1",1000.000000,2
"33",참도,전라남도 신안군 지도읍 참도길 296-5,35.1066142,126.1996632,"23",장승규,330,89.74,2021/11/11,"1",1000.000000,2
"34",하탑,전라남도 신안군 지도읍 지도증도로 348,35.0354802,126.1906505,"28",김해진,266,93.13,2021/11/11,"1",1000.000000,2
"35",백련,전라남도 신안군 지도읍 백련길 67,35.0835547,126.1876376,"28",나기석,317,96.2,2021/11/11,"1",1000.000000,4
"36",월산,전라남도 신안군 지도읍 봉리길 88-29,35.0685682,126.2130394,"16",김원길,479.07,91.8,2021/11/11,"1",1000.000000,0
"37",감정1,전라남도 신안군 지도읍 감정길 15,35.0725908,126.1993399,"36",김부기,850,66.15,2021/11/11,"1",1000.000000,0
"38",대실,전라남도 신안군 지도읍 봉리길 551-5,35.0901128,126.2037642,"31",장길배,476,99.8,2021/11/11,"1",1000.000000,6
"39",읍서,전라남도 신안군 지도읍 서촌길 67-6,35.0614841,126.2059701,"65",한귀영,156.74,83.9,2021/11/11,"1",1000.000000,0
"40",송항,전라남도 신안군 지도읍 원내양길 25-16,35.0918545,126.220781,"19",주태섭,486,108.18,2021/11/11,"1",1000.000000,7
"41",태이,전라남도 신안군 지도읍 태이길 181-35,35.0241636,126.2347146,"21",최덕길,379,96.61,2021/11/11,"1",1000.000000,2
"42",북촌,전라남도 신안군 지도읍 선도길 284,34.9973294,126.2621132,"14",김영숙,536,85.65,2021/11/11,"1",1000.000000,0
"43",용교,전라남도 신안군 지도읍 용교길 96,35.0686885,126.2204267,"15",오광실,905,84.11,2021/11/11,"1",1000.000000,0
"44",선도3,전라남도 신안군 지도읍 선도길 152-1,34.9873063,126.2641585,"22",김을술,330,85.65,2021/11/11,"1",1000.000000,0
