,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
18735,TSB332000183,도화터미널,1.0,N,Do Hwa Teo Mi Neol,34.509067,127.317633,2021/09/16 04:01:26,3320183.0,36350,고흥군
18736,TSB332000184,익금,1.0,N,Ik Geum,34.510329,127.391617,2021/09/16 04:01:26,3320184.0,36350,고흥군
18737,TSB332000185,익금,1.0,N,Ik Geum,34.510374,127.391706,2021/09/16 04:01:26,3320185.0,36350,고흥군
18738,TSB332000186,섭정,1.0,N,Seop Jeong,34.511922,127.457735,2021/09/16 04:01:26,3320186.0,36350,고흥군
18739,TSB332000187,섭정,1.0,N,Seop Jeong,34.511931,127.457597,2021/09/16 04:01:26,3320187.0,36350,고흥군
18740,TSB332000188,도화보건소,1.0,N,Do Hwa Bo Geon So,34.512874,127.321872,2021/09/16 04:01:26,3320188.0,36350,고흥군
18741,TSB332000189,강동,1.0,N,Gang Dong,34.512858,127.263404,2021/09/16 04:01:26,3320189.0,36350,고흥군
18742,TSB332000190,도화보건소,1.0,N,Do Hwa Bo Geon So,34.512912,127.321958,2021/09/16 04:01:26,3320190.0,36350,고흥군
18743,TSB332000191,강동,1.0,N,Gang Dong,34.512966,127.263381,2021/09/16 04:01:26,3320191.0,36350,고흥군
18744,TSB332000192,소록도,1.0,N,So Rok Do,34.51461,127.127862,2021/09/16 04:01:26,3320192.0,36350,고흥군
18745,TSB332000193,도화고등학교,1.0,N,Do Hwa Go Deung Hak Gyo,34.515198,127.320437,2021/09/16 04:01:26,3320193.0,36350,고흥군
18746,TSB332000194,서풍,1.0,N,Seo Pung,34.517868,127.244291,2021/09/16 04:01:26,3320194.0,36350,고흥군
18993,TSB332000195,청룡,1.0,N,Cheong Ryong,34.522092,127.33336,2021/09/16 04:01:26,3320195.0,36350,고흥군
18994,TSB332000196,청룡,1.0,N,Cheong Ryong,34.522145,127.333244,2021/09/16 04:01:26,3320196.0,36350,고흥군
18995,TSB332000197,풍남,1.0,N,Pung Nam,34.522837,127.245016,2021/09/16 04:01:26,3320197.0,36350,고흥군
18996,TSB332000198,풍남,1.0,N,Pung Nam,34.522884,127.245224,2021/09/16 04:01:26,3320198.0,36350,고흥군
18997,TSB332000199,은전,1.0,N,Eun Jeon,34.524549,127.202847,2021/09/16 04:01:26,3320199.0,36350,고흥군
18998,TSB332000200,은전,1.0,N,Eun Jeon,34.524657,127.20286,2021/09/16 04:01:26,3320200.0,36350,고흥군
18999,TSB332000201,남성,1.0,N,Nam Seong,34.52479,127.408155,2021/09/16 04:01:26,3320201.0,36350,고흥군
19000,TSB332000202,남성,1.0,N,Nam Seong,34.524869,127.408133,2021/09/16 04:01:26,3320202.0,36350,고흥군
19001,TSB332000203,덕흥,1.0,N,Deok Heung,34.525836,127.448587,2021/09/16 04:01:26,3320203.0,36350,고흥군
19002,TSB332000204,덕흥,1.0,N,Deok Heung,34.525924,127.448496,2021/09/16 04:01:26,3320204.0,36350,고흥군
19003,TSB332000205,황산,1.0,N,Hwang San,34.525962,127.320459,2021/09/16 04:01:26,3320205.0,36350,고흥군
19004,TSB332000206,호덕,1.0,N,Ho Deok,34.525971,127.315251,2021/09/16 04:01:26,3320206.0,36350,고흥군
19005,TSB332000207,호덕,1.0,N,Ho Deok,34.525989,127.315379,2021/09/16 04:01:26,3320207.0,36350,고흥군
19006,TSB332000208,녹동농협,1.0,N,Nok Dong Nong Hyeop,34.525977,127.140036,2021/09/16 04:01:26,3320208.0,36350,고흥군
19007,TSB332000209,황산,1.0,N,Hwang San,34.526033,127.320557,2021/09/16 04:01:26,3320209.0,36350,고흥군
19008,TSB332000210,구금산선착장,1.0,N,Gu Geum San Seon Chak Jang,34.526069,127.135329,2021/09/16 04:01:26,3320210.0,36350,고흥군
19009,TSB332000211,녹동농협,1.0,N,Nok Dong Nong Hyeop,34.526084,127.140009,2021/09/16 04:01:26,3320211.0,36350,고흥군
19010,TSB332000212,구금산선착장,1.0,N,Gu Geum San Seon Chak Jang,34.526106,127.135454,2021/09/16 04:01:26,3320212.0,36350,고흥군
19011,TSB332000213,녹동전통시장,1.0,N,Nok Dong Jeon Tong Si Jang,34.527209,127.13859,2021/09/16 04:01:26,3320213.0,36350,고흥군
19012,TSB332000214,녹동전통시장,1.0,N,Nok Dong Jeon Tong Si Jang,34.527276,127.138709,2021/09/16 04:01:26,3320214.0,36350,고흥군
19013,TSB332000215,녹동항,1.0,N,Nok Dong Hang,34.527375,127.134506,2021/09/16 04:01:26,3320215.0,36350,고흥군
19014,TSB332000216,녹동항,1.0,N,Nok Dong Hang,34.527472,127.134568,2021/09/16 04:01:26,3320216.0,36350,고흥군
19015,TSB332000217,덕흥,1.0,N,Deok Heung,34.527582,127.447085,2021/09/16 04:01:26,3320217.0,36350,고흥군
19016,TSB332000218,덕흥,1.0,N,Deok Heung,34.527805,127.446895,2021/09/16 04:01:26,3320218.0,36350,고흥군
19017,TSB332000219,외산,1.0,N,Oe San,34.528253,127.363884,2021/09/16 04:01:26,3320219.0,36350,고흥군
19018,TSB332000220,대봉,1.0,N,Dae Bong,34.528545,127.154103,2021/09/16 04:01:26,3320220.0,36350,고흥군
19019,TSB332000221,백석,1.0,N,Baek Seok,34.528625,127.235814,2021/09/16 04:01:26,3320221.0,36350,고흥군
19020,TSB332000222,대봉,1.0,N,Dae Bong,34.528642,127.154031,2021/09/16 04:01:26,3320222.0,36350,고흥군
19021,TSB332000223,덕양해양경찰,1.0,N,Deok Yang Hae Yang Gyeong Chal,34.528761,127.442027,2021/09/16 04:01:26,3320223.0,36350,고흥군
19022,TSB332000224,덕양,1.0,N,Deok Yang,34.528896,127.44195,2021/09/16 04:01:26,3320224.0,36350,고흥군
19023,TSB332000225,청룡마을,1.0,N,Cheong Ryong Ma Eul,34.528975,127.33292,2021/09/16 04:01:26,3320225.0,36350,고흥군
19024,TSB332000226,원산,1.0,N,Won San,34.529004,127.314297,2021/09/16 04:01:26,3320226.0,36350,고흥군
19025,TSB332000227,청룡마을,1.0,N,Cheong Ryong Ma Eul,34.529066,127.332996,2021/09/16 04:01:26,3320227.0,36350,고흥군
19026,TSB332000228,원산,1.0,N,Won San,34.529067,127.314186,2021/09/16 04:01:26,3320228.0,36350,고흥군
19027,TSB332000229,백석,1.0,N,Baek Seok,34.529832,127.235845,2021/09/16 04:01:26,3320229.0,36350,고흥군
19028,TSB332000230,백석,1.0,N,Baek Seok,34.52994,127.235814,2021/09/16 04:01:26,3320230.0,36350,고흥군
19029,TSB332000231,청용,1.0,N,Cheong Yong,34.530084,127.331136,2021/09/16 04:01:26,3320231.0,36350,고흥군
19030,TSB332000232,동적,1.0,N,Dong Jeok,34.530318,127.232691,2021/09/16 04:01:26,3320232.0,36350,고흥군
19031,TSB332000233,동적,1.0,N,Dong Jeok,34.530432,127.232691,2021/09/16 04:01:26,3320233.0,36350,고흥군
19032,TSB332000234,미후,1.0,N,Mi Hu,34.531893,127.348219,2021/09/16 04:01:26,3320234.0,36350,고흥군
19033,TSB332000235,미후,1.0,N,Mi Hu,34.532006,127.348156,2021/09/16 04:01:26,3320235.0,36350,고흥군
19034,TSB332000236,봉암,1.0,N,Bong Am,34.532415,127.165609,2021/09/16 04:01:26,3320236.0,36350,고흥군
19035,TSB332000237,봉암,1.0,N,Bong Am,34.532496,127.165524,2021/09/16 04:01:26,3320237.0,36350,고흥군
19036,TSB332000238,녹동터미널,1.0,N,Nok Dong Teo Mi Neol,34.532847,127.139099,2021/09/16 04:01:26,3320238.0,36350,고흥군
19037,TSB332000239,신호,1.0,N,Sin Ho,34.533987,127.31271,2021/09/16 04:01:26,3320239.0,36350,고흥군
19038,TSB332000240,풍남송정,1.0,N,Pung Nam Song Jeong,34.534008,127.252118,2021/09/16 04:01:26,3320240.0,36350,고흥군
19039,TSB332000241,신호,1.0,N,Sin Ho,34.534042,127.312827,2021/09/16 04:01:26,3320241.0,36350,고흥군
19040,TSB332000242,풍남송정,1.0,N,Pung Nam Song Jeong,34.534097,127.252019,2021/09/16 04:01:26,3320242.0,36350,고흥군
19041,TSB332000243,장촌,1.0,N,Jang Chon,34.53469,127.350155,2021/09/16 04:01:26,3320243.0,36350,고흥군
19042,TSB332000244,장촌,1.0,N,Jang Chon,34.534736,127.350037,2021/09/16 04:01:26,3320244.0,36350,고흥군
19043,TSB332000245,녹동휴게소,1.0,N,Nok Dong Hyu Ge So,34.534863,127.127494,2021/09/16 04:01:26,3320245.0,36350,고흥군
19044,TSB332000246,녹동휴게소,1.0,N,Nok Dong Hyu Ge So,34.534952,127.127693,2021/09/16 04:01:26,3320246.0,36350,고흥군
19045,TSB332000247,봉서,1.0,N,Bong Seo,34.535075,127.324293,2021/09/16 04:01:26,3320247.0,36350,고흥군
19046,TSB332000248,동백,1.0,N,Dong Baek,34.53525,127.31378,2021/09/16 04:01:26,3320248.0,36350,고흥군
19047,TSB332000249,동백,1.0,N,Dong Baek,34.535304,127.313664,2021/09/16 04:01:26,3320249.0,36350,고흥군
19048,TSB332000250,오마,1.0,N,O Ma,34.53611,127.198856,2021/09/16 04:01:26,3320250.0,36350,고흥군
19049,TSB332000251,오마,1.0,N,O Ma,34.536186,127.198946,2021/09/16 04:01:26,3320251.0,36350,고흥군
19050,TSB332000252,냉정,1.0,N,Naeng Jeong,34.536452,127.252113,2021/09/16 04:01:26,3320252.0,36350,고흥군
19051,TSB332000253,냉정,1.0,N,Naeng Jeong,34.536519,127.252014,2021/09/16 04:01:26,3320253.0,36350,고흥군
19052,TSB332000254,풍양매곡,1.0,N,Pung Yang Mae Gok,34.537635,127.216496,2021/09/16 04:01:26,3320254.0,36350,고흥군
19053,TSB332000255,풍양매곡,1.0,N,Pung Yang Mae Gok,34.537662,127.216824,2021/09/16 04:01:26,3320255.0,36350,고흥군
19054,TSB332000256,구룡,1.0,N,Gu Ryong,34.538733,127.449344,2021/09/16 04:01:26,3320256.0,36350,고흥군
19055,TSB332000257,봉동,1.0,N,Bong Dong,34.539701,127.329891,2021/09/16 04:01:26,3320257.0,36350,고흥군
19056,TSB332000258,고당,1.0,N,Go Dang,34.541339,127.331097,2021/09/16 04:01:26,3320258.0,36350,고흥군
19057,TSB332000259,신흥,1.0,N,Sin Heung,34.541901,127.19363,2021/09/16 04:01:26,3320259.0,36350,고흥군
19058,TSB332000260,용정마을,1.0,N,Yong Jeong Ma Eul,34.542052,127.135118,2021/09/16 04:01:26,3320260.0,36350,고흥군
19059,TSB332000261,신흥,1.0,N,Sin Heung,34.542135,127.193663,2021/09/16 04:01:26,3320261.0,36350,고흥군
19060,TSB332000262,용정마을,1.0,N,Yong Jeong Ma Eul,34.542153,127.135181,2021/09/16 04:01:26,3320262.0,36350,고흥군
19061,TSB332000263,신촌,1.0,N,Sin Chon,34.543457,127.358235,2021/09/16 04:01:26,3320263.0,36350,고흥군
19062,TSB332000264,우산,1.0,N,U San,34.543548,127.415288,2021/09/16 04:01:26,3320264.0,36350,고흥군
19063,TSB332000265,신촌,1.0,N,Sin Chon,34.543548,127.358078,2021/09/16 04:01:26,3320265.0,36350,고흥군
