시도명,시군구명,읍면명,회관명,소재지,규모(제곱미터),데이터기준일자
전라남도,담양군,창평면,오산 마을회관,전라남도 창평면 오강1리 272-2,73.2,2022-05-27
전라남도,담양군,창평면,강촌 마을회관,전라남도 창평면 오강2리 470,83,2022-05-27
전라남도,담양군,창평면,당곡 마을회관,전라남도 창평면 오강2리 509-1,76.05,2022-05-27
전라남도,담양군,창평면,죽항 마을회관,전라남도 창평면 의항1리 239,71.76,2022-05-27
전라남도,담양군,창평면,보평 마을회관,전라남도 창평면 의항1리 151-1,73.5,2022-05-27
전라남도,담양군,창평면,의암 마을회관,전라남도 창평면 의항2리 535-6,77.35,2022-05-27
전라남도,담양군,창평면,하산 마을회관,전라남도 창평면 일산1리 238-1,88.65,2022-05-27
전라남도,담양군,창평면,상산 마을회관,전라남도 창평면 일산2리 96-1,90.18,2022-05-27
전라남도,담양군,창평면,장전 마을회관,전라남도 창평면 장화1리 437-1,118.1,2022-05-27
전라남도,담양군,창평면,화양촌 마을회관,전라남도 창평면 장화2리 587-1,81.74,2022-05-27
전라남도,담양군,창평면,절산 마을회관,전라남도 창평면 유곡1리 557-26,96,2022-05-27
전라남도,담양군,창평면,연화촌 마을회관,전라남도 창평면 유곡2리 140,82.08,2022-05-27
전라남도,담양군,창평면,기동 마을회관,전라남도 창평면 유곡3리 378-4,74,2022-05-27
전라남도,담양군,창평면,얼그실 마을회관,전라남도 창평면 해곡1리 212,77,2022-05-27
전라남도,담양군,창평면,내동 마을회관,전라남도 창평면 해곡2리 272-4,57.6,2022-05-27
전라남도,담양군,창평면,부동촌 마을회관,전라남도 창평면 해곡3리 509-1,81.9,2022-05-27
전라남도,담양군,창평면,성덕 마을회관,전라남도 창평면 해곡4리 592-2,101,2022-05-27
전라남도,담양군,창평면,조현 마을회관,전라남도 창평면 광덕1리 663-2,71.48,2022-05-27
전라남도,담양군,창평면,신흥 마을회관,전라남도 창평면 광덕2리 614-1,9.1,2022-05-27
전라남도,담양군,창평면,현암 마을회관,전라남도 창평면 광덕3리 77,69.2,2022-05-27
전라남도,담양군,창평면,외동 마을회관,전라남도 창평면 외동리 411,72,2022-05-27
전라남도,담양군,대덕면,사창 마을회관,전라남도 대덕면 매산1리 160-1,67.74,2022-05-27
전라남도,담양군,대덕면,등갈 마을회관,전라남도 대덕면 매산2리 573-4,59.85,2022-05-27
전라남도,담양군,대덕면,대조 마을회관,전라남도 대덕면 매산3리 79-1,155.24,2022-05-27
전라남도,담양군,대덕면,신갈 마을회관,전라남도 대덕면 매산4리 산 74-3,49.5,2022-05-27
전라남도,담양군,대덕면,대산 마을회관,전라남도 대덕면 장산1리 422-5,65.61,2022-05-27
전라남도,담양군,대덕면,장동 마을회관,전라남도 대덕면 장산2리 245-1,100.8,2022-05-27
전라남도,담양군,대덕면,차동 마을회관,전라남도 대덕면 비차1리 536,95.47,2022-05-27
전라남도,담양군,대덕면,가흥 마을회관,전라남도 대덕면 비차2리 426,68.68,2022-05-27
전라남도,담양군,대덕면,무월 마을회관,전라남도 대덕면 금산1리 334,116.65,2022-05-27
전라남도,담양군,대덕면,시목 마을회관,전라남도 대덕면 금산2리 545-1,205,2022-05-27
전라남도,담양군,대덕면,성곡 마을회관,전라남도 대덕면 성곡리 287-2,72,2022-05-27
전라남도,담양군,대덕면,하운 마을회관,전라남도 대덕면 운암1리 733-1,132.14,2022-05-27
전라남도,담양군,대덕면,상운 마을회관,전라남도 대덕면 운암2리 992,50.34,2022-05-27
전라남도,담양군,대덕면,팔학 마을회관,전라남도 대덕면 운암3리 367-7,82.8,2022-05-27
전라남도,담양군,대덕면,내문 마을회관,전라남도 대덕면 문학1리 237-9,89.7,2022-05-27
전라남도,담양군,대덕면,외문 마을회관,전라남도 대덕면 문학2리 426-4,84.2,2022-05-27
전라남도,담양군,대덕면,용대 마을회관,전라남도 대덕면 용대1리 248,72.6,2022-05-27
전라남도,담양군,대덕면,청운 마을회관,전라남도 대덕면 용대2리 962-1,66.4,2022-05-27
전라남도,담양군,대덕면,하갈 마을회관,전라남도 대덕면 갈전1리 460,48.19,2022-05-27
전라남도,담양군,대덕면,상갈 마을회관,전라남도 대덕면 갈전2리 673,80.31,2022-05-27
