2021년 장흥군 읍면별 경로당 현황,,,,,
,,,,,
연번,읍면,경로당명,주소,등록일자,구분
200,용산,녹  원,원기길 10,2001. 10. 10,공동
201,용산,녹  동,녹동길 19,2004. 01. 26,공동
202,용산,봉  동,장흥대로 1939-106,2010. 11. 25,공동
203,용산, 관  지 ,관지길 8,2000. 09. 22,공동
204,용산,유  동,유동길 7,2011. 03. 28,공동
205,용산,정  장,정장길 35-1,2001. 10. 10,공동
206,용산,상  금,상금길 7,2001. 10. 10,공동
207,용산,송  전,송전길 15,2001. 10. 10,공동
208,용산,초  당,초당길 14,2014. 01. 06,공동
209,용산,금  곡,금곡길 11-9,1998. 05. 09,공동
210,용산,월  정,금곡월정길 83-24 ,2004. 01. 26,공동
211,용산,인  암,인암길 7,1995. 02. 16,공동
212,용산,용  인,용인길 4-17,2004. 01. 26,공동
213,용산,청  전,청전길 7,2004. 01. 26,공동
214,용산,척  산,척산길 7,2001. 10. 10,공동
215,용산,석  동,벌국길 131,2009. 04. 03,공동
216,용산,장  전,장전길 10,1999. 01. 15,공동
217,용산,모  산,모산길 17,2000. 09. 22,공동
218,용산,포  곡,모산포곡로 319,2002. 03. 19,공동
219,용산,계  산,계산2길 7,2000. 09. 22,공동
220,용산,차  동,차동길 17-3,2002. 03. 19,공동
221,용산,덕암1구,덕암길 20,2002. 03. 19,남
222,용산,덕암2구(여),덕암지천길 57-1,2004. 04. 04,여
223,용산,남  하,원등2길 11,1993. 12. 13,남
224,용산,원등(여),원등2길 2,2002. 04. 15,여
225,용산,풍  길,풍길길 4,2001. 05. 09,공동
226,용산,농어두,덕암풍길로 214-5,2002. 05. 29,공동
227,용산,두  암,두암길 27,2002. 10. 10,공동
228,용산,상  발,상발길 6,2001. 10. 10,공동
229,용산, 남  포 ,남포길 13,2001. 10. 10,공동
230,용산,산  정,남포산정길 9,2001. 09. 22,공동
231,안양,중 앙,남부관광로 730-1,2020. 06. 22,남
232,안양,남극당,남부관광로 606-14,1989. 06. 01,남
233,안양,기  산,기산길 34,2001. 09. 20,남
234,안양,기산연화(여),기산길 34,2002. 03. 19,여
235,안양,동  계,동계길 45,2002. 03. 19,공동
236,안양,비  동,주교비동로 152,1989. 09. 01,공동
237,안양,월  암,월암길 24-3,2001. 12. 13,공동
238,안양,여  암,여암길 11,1997. 08. 22,공동
239,안양,고  당,고당길 59,2001. 09. 20,남
240,안양,주  교,주교길 20,2005. 11. 22,공동
241,안양,청  송,청송1길 4,2001. 10. 10,공동
242,안양,수  양,수양길 1-23,1997. 08. 22,공동
243,안양,상  운,상운길 81-3,2001. 10. 10,공동
244,안양,요  곡,요곡길 72,2001. 10. 10,공동
245,안양,운정(남),안양로 129,2008. 09. 18,남
246,안양,운정(여),안양로 129,2003. 03. 03,여
247,안양,모  령,모령1길 10,2001. 09. 20,공동
248,안양,풍  암,풍암길 20,2002. 10. 13,공동
249,안양,목단무본,목단길 118,2001. 10. 10,공동
250,안양,지  천,지천1길 61,2001. 09. 20,공동
251,안양,삼  교,삼교길 7,2002. 03. 19,공동
252,안양,해  창,해창길 159-1,2001. 10. 10,공동
253,안양,교  동,교동1길 6,2001. 10. 10,공동
254,안양,덕  동,해창길 61,2003. 04. 21,공동
255,안양,사  촌,사촌큰길 65,1989. 06. 01,남
256,안양,덕  송,사촌큰길 64,2003. 12. 19,여
257,안양,율  산,율산밤나무길 5-1,1990. 06. 05,공동
258,안양,덕  산,사촌덕산길 4,2002. 05. 09,공동
259,안양,수  문,수문용곡로 127,1989. 06. 01,남
260,안양,수문자모,수문용곡로 127,2001. 10. 10,여
261,안양,용  곡,수문용곡로 256-22,1998. 05. 14,공동
262,안양,학  송,학송길 22-1,1989. 06. 01,남
263,안양,학송송학,학송길 10,2002. 04. 15,여
264,안양,장  수,장수길 17,2003. 03. 03,여
265,안양,신촌(남),신촌1길 2,1989. 06. 01,남
266,안양,신촌(여),신촌1길 2,2002. 11. 12,여
267,안양,수  락,수락길 137-2,1995. 02. 16,남
268,안양,수락봉수,수락길 137-2,2002. 01. 14,여
269,안양,로하스,로하스2길 39-15,2021.01.07.,공동
270,장동,수선당,신북1길 53,1985. 09. 30,남
271,장동,수선당(여),신북1길 52-1,1994. 01. 15,여
272,장동,밤  실,밤실장곡길 11,2001. 10. 10,공동
273,장동,진  곡,진곡길 167,2000. 09. 22,공동
274,장동,관  호,관호길 23,2002. 02. 26,공동
275,장동,양  곡,양곡길 19,2002. 05. 09,공동
276,장동,율  리,율리길 21,2002. 02. 26,공동
277,장동,우  봉,배산우봉길 133,2001. 10. 10,공동
278,장동,배  산,배산길 10,2001. 10. 10,공동
279,장동,외  반,외반길 7,1998. 03. 25,공동
280,장동,내  반,원촌길 3,1998. 01. 20,공동
281,장동,신  북,신북1길 23,2001. 10. 10,공동
282,장동,북  동,북동길 22,2002. 02. 26,공동
283,장동,학  산,학산길 2,2010. 03. 24,공동
284,장동,북교3구   (석교),석교방이길 111,2001. 10. 10,공동
285,장동,정  암,정암길 22,2002. 05. 30,공동
286,장동,원만년,원만년1길 30-5,2001. 10. 10,공동
287,장동,남성당,흥성로 1110,1976. 05. 15,남
288,장동,만  수,만수길 27,2000. 09. 22,공동
289,장동,장  항,장항길 21,2004. 04. 06,공동
290,장동,삼  정,만년삼정길 9,2001. 10. 10,공동
291,장동,하  산,하산산동길 149,2003. 10. 15,공동
292,장동,거  개,거개길 122,1998. 03. 03,공동
293,장동,두룡산,두룡산길 138,2002. 02. 26,공동
294,장평,수인당,장평중앙길 63,1989. 06. 01,남
295,장평,용강1구,용강길 30-16,1999. 10. 15,공동
296,장평,용강2구,평동로 11-1,2010. 03. 24,공동
297,장평,하탑동,하탑동길 9,2005. 01. 27,공동
298,장평,상탑동,상탑동길 14,2000. 09. 22,공동
299,장평,등  촌,등촌길 34,2000. 09. 22,공동
300,장평,여  의,하탑동길 9,2001. 10. 10,공동
301,장평,양  촌,골안길 2-1,2007. 10. 30,남
302,장평,양촌(여),골안길 2-1,2002. 02. 26,여
303,장평,운  수,운수길 12,2002. 05. 29,공동
304,장평,장  택,장택길 22,2004. 12. 27,공동
305,장평,축  내,축내길 22,2002. 02. 26,공동
306,장평,용  산,용산길 3,2002. 11. 12,공동
307,장평, 추성당 ,곰치로 731,1995. 03. 22,공동
308,장평,장수당,제산길 62-2,2008. 01. 28,공동
309,장평,봉  림,봉림1길 34-1,2001. 10. 10,공동
310,장평,대  림,피재로 449-10,2005. 12. 07,공동
311,장평,우  산,장평우산길 4,2000. 09. 22,공동
312,장평,연  동,우산연동길 41,2004. 12. 27,공동
313,장평,장  항,노루목길 24-4,2008. 12. 31,공동
314,장평,병  동,병동길 6,1999. 10. 15,공동
315,장평,청  용,청용2길 38,1997. 09. 05,공동
