연번,읍면동,리,지 번,마을회관명,토지소유자,건물소유자,건립일자,대지면적 (제곱미터),총면적(제곱미터),마을회관 면적(제곱미터),주구조,마을회관사용1,마을회관사용2,노유자시설사용(경로당)
138,남   면,유송,413-3,여천,여천새마을회,여천새마을회,2004-05-18,128,128.94,63.27,벽돌구조,2층,,1층경로당
139,남   면,유송,241-1,대유,정기홍,대유새마을회,1982-01-01,208,173.7,55.8,시멘트벽돌,2층,,1층경로당
140,남   면,유송,151-4152-1,소유,소유새마을회,남면유송리소유새마을회,2013-02-19,596,179.24,103.04,철근콘크리트,2층,,1층경로당
141,남   면,심장,34001,장지,장지부락새마을회,장자부락새마을회,1990-03-07,605,136.6,136.6,시멘트벽돌,1층,,
142,남   면,심장,874-3,심포,심포새마을회,심포새마을회,1998-04-29,598,232.84,77.76,시멘트벽돌,2층,,1층경로당
143,남   면,심장,962-4,미포,미포새마을회,미포새마을회,2015-04-25,447,98.78,98.78,철근콘크리트,1층,,
144,남   면,안도,"888, 888-1, 888-2",안도,안도리새마을회,안도새마을회,1995-08-30,371,148.5,148.5,"시멘트벽돌, 조적조",1층,,
145,남   면,안도,1141-2,서고지,여수시,서고지새마을회,1995-08-30,126,189.7,189.7,시멘트벽돌,2층,,
146,남   면,연도,1590-19,연도,연도리새마을회,연도리새마을회,1998-03-06,577,173.56,99.3,시멘트벽돌,1층,,
147,남   면,연도,912-1,역포,역포새마을회외1인,역포새마을회,1997-11-17,823,161.09,161.09,시멘트벽돌,2층,,
148,남   면,두라,216,대두,여천군남면두라리새마을회,여천군남면두라리새마을회,2014-03-21,433,138.69,138.69,슬래브,"1,2층",,
149,남   면,두라,431-1,봉통,오영남,봉통새마을회,1997-12-19,139,99.45,40.35,시멘트벽돌,2층,,1층경로당
150,남   면,화태,207-1,화태,화태리,화태리새마을회,1977-05-15,149,64,64,시멘트벽돌,1층,,
151,남   면,횡간,368-1,횡간,횡간리,횡간리리사무소,1983-01-01,142,116.42,116.42,시멘트벽돌,2층,,
152,남   면,화태,21551,월전,여수시,월전새마을회,1974-01-01,198,111.26,28.86,시멘트벽돌,2층,,1층경로당
153,남   면,두라,31809,나발,나발새마을회,나발리새마을회,2007-05-14,104,103.56,31.56,적벽돌,2층,,1층경로당
154,화정면,월호,"154, 152",월호,월호리새마을회,월호리사무소,1978-01-01,755,248.7,248.7,시멘트벽돌,2층,,
155,화정면,월호,571-1,자봉,여수시,자봉리새마을회,1990-02-15,83,132,132,철근콘크리트,2층,,
156,화정면,개도,58,월항,월항리새마을회,월항리새마을회,1998-03-18,18.5,54,54,조적조,1층,,
157,화정면,개도,231,신흥,신흥리새마을회,신흥새마을회,1976-01-01,444,197.07,197.07,철근콘크리트,2층,,
158,화정면,개도,510-6,화산,화산리새마을회,화산리새마을회,2007-02-16,860,338.5,338.5,시멘트벽돌,2층,,
159,화정면,개도,1420-11,여석,문성연,서삼리사무소,1981-01-01,509,102.71,102.71,철근콘크리트,1층,,
160,화정면,개도,1550-1,모전,모전새마을회,모전새마을회,1999-03-25,651,84,84,조적조,1층,,
161,화정면,개도,"1664-2,3",호령,호령리새마을회,호령리새마을회,1994-11-22,248,99.4,99.4,시멘트벽돌,1층,,
162,화정면,제도,"278, 73-3",제도,배행찬,대표배상만,1977-01-01,2833,310,310,시멘트벽돌,1층,,
163,화정면,백야,"95-14, 95-2",백야,여수시,여수시장,1996-11-07,448.11,161.16,161.16,조적조,2층,,
164,화정면,백야,438-1,화백,화백리새마을회,화백리새마을회,1981-01-01,275,83.02,83.02,시멘트벽돌,3층,,
165,화정면,하화,"294-3, 230, 231",하화,하화리새마을회,하화새마을회,1957-01-01,254,153.4,133.13,"목조, 시멘트벽돌",2층,,
166,화정면,상화,178-22,상화,박남석,상화리사무소,1980-01-01,160,85,85,시멘트벽돌,1층,,
167,화정면,낭도,198-1,사도,사도리새마을회,사도리사무소,1981-01-01,198,99.6,99.6,시멘트벽돌,1층,,
168,화정면,낭도,1010,여산,낭도리새마을회,낭도리사무소,1980-01-01,243,431.45,110,시멘트벽돌,2층,,
169,화정면,낭도,356-12,규포,여수시,규포리사무소,1979-01-01,259,151,151,시멘트벽돌,1층,,
170,화정면,조발,148,조발,김영명외2인,조발새마을회,1997-12-29,139,54,54,시멘트벽돌,1층,,
171,화정면,조발,331-1,둔병,둔병리새마을회,둔병리새마을회,1998-03-19,191,54,40.5,시멘트벽돌,1층,,1층 경로당
172,화정면,적금,349,적금,적금리새마을회,적금리,1985-01-01,294,205.5,205.5,시멘트벽돌,2층,,
173,화정면,여자,730-3,여자,여자대동새마을회,여자대동새마을회,2015-09-11,404,179.19,179.19,철근콘크리트,2층,,
