연번,법정리,마을명,마을회관 주소,연면적(제곱미터),구조물 형태,규모,건립년도
148,월길리,가길,전라남도 광양시 월길리 1153-1,128.88,조적,2층,1997
149,신아리,신덕,전라남도 광양시 신아리 463,62.64,시멘트벽돌,1층,2002
150,송금리,신송,전라남도 광양시 송금리 647-1,88.44,시멘트벽돌,1층,2003
151,진정리,항동,전라남도 광양시 진정리 161,81,벽돌,1층,2004
152,차사리,사동,전라남도 광양시 차사리 291-2,119,철콘,2층,2004
153,마룡리,구덕,전라남도 광양시 마룡리 177-2,99.18,벽돌,1층,2005
154,오사리,사평,전라남도 광양시 오사리 46-1외 2필지,217.38,조적,2층,2005
155,마룡리,마동,전라남도 광양시 마룡리 706-7,98.82,벽돌,2층,2007
156,망덕리,장재,전라남도 광양시 망덕리 511-1,122.01,철콘,2층,2011
157,차사리,차동,전라남도 광양시 차사리 408-5,100.8,철콘조,1층,2014
158,신원리,원동,전라남도 광양시 신원리 450,79.4,블록,1층,1971
159,신원리,평화,전라남도 광양시 신원리 407-4(사동),118.08,경량철골,1층,2000
160,고사리,관동,전라남도 광양시 고사리 258-1,174.75,철골,2층,2001
161,금천리,직금,전라남도 광양시 금천리 1753-1,90,블록,1층,2003
162,도사리,다사,전라남도 광양시 도사리 881-1,371.4,조적,2층,2003
163,금천리,염창,전라남도 광양시 금천리 2404-3,133.61,조적,2층,2003
164,도사리,섬진,전라남도 광양시 도사리 141,97.5,철콘,1층,2004
165,도사리,소학정,전라남도 광양시 도사리 1266-3,128.7,벽돌,2층,2005
166,신원리,외압,전라남도 광양시 신원리 1171-1,111.96,벽돌,1층,2006
167,고사리,고사,전라남도 광양시 고사리 1046-5,110.57,철콘,1층,2008
168,고사리,항동,전라남도 광양시 고사리 1141-4,184.29,철콘,1층,2008
169,고사리,죽천,전라남도 광양시 고사리 2018외 1필지,99.18,철콘,1층,2008
170,금천리,서동,전라남도 광양시 금천리 1239-1,144.94,철콘,2층,2008
171,금천리,매각,전라남도 광양시 금천리 2046,106.23,철콘,2층,2008
172,신원리,신기,전라남도 광양시 신원리 705-2,102.24,철콘,1층,2009
173,신원리,내압,전라남도 광양시 신원리 1483-6,100.86,벽돌,2층,2009
174,금천리,평촌,전라남도 광양시 금천리 1525-1,97.08,벽돌,1층,2009
175,금천리,동동,전라남도 광양시 금천리 343-1,108.54,벽돌,1층,2009
176,하천리,하천,전라남도 광양시 하천리 194-2,55.8,벽돌,1층,2009
177,황길동,평촌,전라남도 광양시 황길동 514,64.9,블록,1층,1960
178,황길동,기동,전라남도 광양시 황길동 421-7,52.43,목조,1층,1965
179,도이동,대화,전라남도 광양시 도이동 648-1,66.6,목조,1층,1970
180,황길동,하포,전라남도 광양시 황길동 894-1,175.36,블록,1층,1974
181,성황동,용장,전라남도 광양시 성황동 733-1,155.21,벽돌,1층,1993
182,성황동,정산,전라남도 광양시 성황동 170-1,83.34,조적,1층,1996
183,황금동,황방,전라남도 광양시 황금동 896-4,202.73,철콘,2층,2009
184,중군동,군재,전라남도 광양시 중군동 89,85.27,철콘,1층,2011
185,황길동,황곡,전라남도 광양시 황길동 1198-1,99.96,철콘,1층,2013
186,중군동,중양,전라남도 광양시 중군동 325-1,99.33,철콘조,1층,2014
187,황금동,고길,전라남도 광양시 황금동 726-3,100.07,철콘,1층,2016
