관할,경로당명,읍면동,리,번지,건축연도,건축물 면적,부지면적,소유자,데이터기준일자,,
도사동,연동경로당,교량동,,602-13,2006,77.58,135,교량동연동마을회,2020-08-20,,
황전면,수평경로당,황전면,수평,601-55,2016,75.52,374,수평마을회,2020-08-20,,
도사동,오룡경로당,대룡동,,598-1,2004,76.6,386,대룡동오룡마을회,2020-08-20,,
해룡면,가산경로당,해룡면,남가,595-2,2001,66.24,,순천시해룡면남가리대가마을회,2020-08-20,,
도사동,영무예다음경로당,오천동,,593-2,2017,56.1,,영무예다음,2020-08-20,,
외서면,농소경로당,외서면,신덕,587-1,1996,66,4417,김기남,2020-08-20,,
상사면,노동경로당,상사면,봉래,586-4,2005,74.66,224,순천시상사면노동마을회,2020-08-20,,
황전면,화평경로당,황전면,덕림,586-1,2003,67.37,391,황전면덕림리화평마을회,2020-08-20,,
황전면,황학경로당,황전면,황학,580-1,,145.2,,황학리,2020-08-20,,
도사동,홍두경로당,홍내동,,572-93,1989,73.9,225,유시열,2020-08-20,,
별량면,용운경로당,별량면,운천,565-3,2001,63.5,159,별량면용운새마을회,2020-08-20,,
상사면,초곡경로당,상사면,초곡,565-1,1993,63.38,,순천시상사면초곡리초곡새마을회,2020-08-20,,
월등면,서당경로당,월등면,신월,564-2,2006,84.6,313,서당마을회,2020-08-20,,
중앙동,선미중앙하이츠경로당,동외동,,56-14,2007,88.22,,선미중앙하이츠,2020-08-20,,
주암면,복다경로당,주암면,복다,559-1,2006,79.2,,복다리마을회,2020-08-20,,
해룡면,비례경로당,해룡면,복성,559-1,2000,65.94,1036,순천시해룡면복성리비례마을회,2020-08-20,,
남제동,장평경로당,남정동,,557-27,2016,81.88,430.5,순천시,2020-08-20,,
매곡동,한마음경로당,매곡동,,556-8,2003,40.57,144,순천시,2020-08-20,,
서면,화정경로당,서면,압곡,553-3,1977,99,,승주군서면압곡리,2020-08-20,,
왕조1동,두산위브1단지경로당,왕지동,,551-2,2011,133.02,,강화형,2020-08-20,,
도사동,안풍여자경로당,안풍동,,547-1,2012,95.66,345.83,안지부락새마을회,2020-08-20,,
별량면,개령경로당,별량면,대룡,546-3,2006,87.76,309,별량면개령마을회,2020-08-20,,
황전면,하평경로당,황전면,평촌,545-1,2000,57.96,172,하평마을회,2020-08-20,,
해룡면,선월경로당,해룡면,선월,544-1,1995,94.79,648,승주군,2020-08-20,,
서면,신촌경로당,서면,학구,538-8,2014,74.6,488,학구리신촌마을회,2020-08-20,,
주암면,귀호경로당,주암면,구산,531-1,1997,102.48,1040.74,귀호경로당,2020-08-20,,
송광면,죽산경로당,송광면,덕산,519-9,1999,71.21,152,덕산리죽산마을회,2020-08-20,,
도사동,내동경로당,홍내동,,517-4,2002,82.47,440,홍내동내동마을회,2020-08-20,,
승주읍,용선경로당,승주읍,도정,514-1,2005,90.33,276,용선송정마을회,2020-08-20,,
주암면,문길경로당,주암면,문길,506-1,1995,66.3,179,풍교리,2020-08-20,,
왕조1동,조례현대아파트경로당,조례동,,505-3,1995,48.18,,조례현대아파트,2020-08-20,,
송광면,평촌여자경로당,송광면,신평,505-1,1987,66.6,126,평촌마을회,2020-08-20,,
송광면,평촌남자경로당,송광면,신평,504-1,2006,49.68,132,평촌마을회,2020-08-20,,
해룡면,신기경로당,해룡면,월전,503-8,1993,73.44,,해룡면월전리신기마을회,2020-08-20,,
황전면,건천경로당,황전면,대치,503-3,1996,57.57,,건천마을회,2020-08-20,,
조곡동,원조곡여자 경로당,조곡동,,501-23,2002,78.36,196.73,둑실마을회,2020-08-20,,
상사면,구계경로당,상사면,용계,495-4,1999,97.65,608,순천시상사면용계리구계마을회,2020-08-20,,
별량면,신촌경로당,별량면,덕정,489-5,2005,73.26,170,순천시별량면신촌마을회,2020-08-20,,
주암면,동촌경로당,주암면,갈마,486-10,2006,90.36,496,동촌마을회,2020-08-20,,
별량면,거차경로당,별량면,마산,485-1,2011,49.06,,마산리거차새마을회,2020-08-20,,
송광면,내우경로당,송광면,우산,483-6,1990,152.07,,박옥현,2020-08-20,,
상사면,화수목경로당,상사면,마륜,478-3,2019,134.61,814,화수목마을회,2020-08-20,,
승주읍,유동남자경로당,승주읍,유흥,478-1,1993,116.4,291,유흥리유동새마을회,2020-08-20,,
승주읍,유동여자경로당,승주읍,유흥,478-1,1993,116.4,291,"유흥리유동새마을회, (중복)",2020-08-20,,
황전면,칠안경로당,황전면,비촌,475-2,1999,70.85,149,"황의록외2인(김남현,김도현)",2020-08-20,,
남제동,흥남경로당,남정동,,474-1,2012,123.93,250,순천시,2020-08-20,,
월등면,운곡경로당,월등면,월용,473-1,1997,77.1,180,운곡마을회,2020-08-20,,
도사동,조례경로당,인월동,,472-9,2000,49.65,258,조례마을회,2020-08-20,,
별량면,장산경로당,별량면,학산,472-3,2001,104.91,314,순천시,2020-08-20,,
서면,회룡경로당,서면,구만,471-3,1965,33.3,,서면구만리회룡마을회,2020-08-20,,
월등면,장선경로당,월등면,농선,470-1,1978,86.6,,장선마을회,2020-08-20,,
낙안면,동내경로당,낙안면,동내,464-4,2002,196.31,333,순천시,2020-08-20,,
매곡동,지등남자경로당,매곡동,,464-24,2008,45.44,261,순천시,2020-08-20,,
매곡동,지등여자경로당,매곡동,,464-24,2005,83.97,261,순천시,2020-08-20,,
서면,개운경로당,서면,구만,463-2,2001,69.45,116,순천시서면개운마을회,2020-08-20,,
별량면,도홍경로당,별량면,두고,460-1,1999,75.88,173,별량면두고리도홍마을회,2020-08-20,,
주암면,영귀경로당,주암면,궁각,458-1,2010,50.5,195,궁각영귀마을회,2020-08-20,,
별량면,하림경로당,별량면,쌍림,455-6,2010,93.9,347,순천시별량면하림마을회,2020-08-20,,
낙안면,신기경로당,낙안면,신기,455-4,2007,79.5,,낙안면신기마을회,2020-08-20,,
주암면,원동경로당,주암면,광천,452-6,2003,90.3,204.23,순천시주암면광천리원동마을회,2020-08-20,,
외서면,화전경로당,외서면,화전,452-1,1998,66,695,화전리새마을회,2020-08-20,,
낙안면,용능경로당,낙안면,용능,450-1,2004,89.02,149,순천시낙안면용능마을회,2020-08-20,,
도사동,서편여자경로당,대대동,,438-1,2004,127.72,540,순천시대대동서편마을회,2020-08-20,,
상사면,용암경로당,상사면,용암,432-8,1978,117.05,302,상사용암마을회,2020-08-20,,
주암면,죽림경로당,주암면,죽림,432-1,2002,36,339,주암죽림마을회,2020-08-20,,
해룡면,성산경로당,해룡면,성산,432-1,1999,71.66,,성산리새마을회,2020-08-20,,
별량면,무풍경로당,별량면,무풍,430-1,1972,55.2,92,순천시별량면풍류마을회,2020-08-20,,
해룡면,가장경로당,해룡면,선학,428-3,2003,61.59,156,계당마을새마을회,2020-08-20,,
승주읍,중앙경로당,승주읍,서평,425-10,2003,82.47,380,순천시,2020-08-20,,
해룡면,하사여자경로당,해룡면,하사,424-9,2013,55.45,263,순천시,2020-08-20,,
향동,와룡경로당,와룡동,,423-5,2005,24.45,153,순천시와룡마을회,2020-08-20,,
월등면,월평경로당,월등면,대평,422-12,2003,90,241,대평리월평마을회,2020-08-20,,
낙안면,교촌경로당,낙안면,교촌,421-4,1990,70.92,173,"교촌노인회(교촌리 421-4), [순천시(교촌리 422)]",2020-08-20,,
