관할,경로당명,읍면동,리,번지,건축연도,건축물 면적,부지면적,소유자,데이터기준일자,,
낙안면,화목경로당,낙안면,평사,616,2001,66.6,367,화목새마을회,2020-08-20,,
외서면,하고경로당,외서면,월암,613,1999,77.34,304,이복동외1인 (김정남),2020-08-20,,
외서면,하율경로당,외서면,쌍율,609,2003,76.14,294,신갑례외1인 (강대관),2020-08-20,,
왕조1동,범암경로당,왕지동,,606,2009,102.77,232,순천시,2020-08-20,,
해룡면,구동경로당,해룡면,농주,605,2008,84.42,416,농주새마을회,2020-08-20,,
삼산동,향림골경로당,석현동,,594,2018,93.62,1579,순천시,2020-08-20,,
승주읍,서동경로당,승주읍,신성,592,1995,78,162,승주서동마을회,2020-08-20,,
승주읍,두모경로당,승주읍,두월,587,2000,48,308,두모마을마을회,2020-08-20,,
송광면,오룡경로당,송광면,구룡,587,2005,74.37,532,순천시송광면구룡리오룡마을회,2020-08-20,,
주암면,천평경로당,주암면,창촌,586,2003,70,635,천평마을회,2020-08-20,,
주암면,상어경로당,주암면,어왕,585,2005,77.58,575,어왕리상어마을회,2020-08-20,,
삼산동,용당동아아파트경로당,용당동,,570,1991,55.98,,용당동아아파트,2020-08-20,,
조곡동,금강메트로빌경로당,조곡동,,566,2002,132,132,금강종합건설주식회사,2020-08-20,,
주암면,접치경로당,주암면,행정,563,1986,52,264,접치리,2020-08-20,,
왕조1동,조례동아아파트경로당,조례동,,560,1993,155.52,,조례동아아파트,2020-08-20,,
별량면,구룡경로당,별량면,구룡,550,1988,83.18,,순천시별량면구룡새마을회,2020-08-20,,
왕조1동,남양휴튼경로당,조례동,,550,2006,133,,주식회사원당필하우징외 2명,2020-08-20,,
승주읍,등계경로당,승주읍,봉덕,542,2002,84,255,등계마을회,2020-08-20,,
송광면,산척여자경로당,송광면,봉산,539,1889,38.6,,봉산리농업협동조합,2020-08-20,,
월등면,외동경로당,월등면,계월,539,1997,66,311,방창혁,2020-08-20,,
남제동,남제경로당,남정동,,533,2017,72,1455.5,순천시,2020-08-20,,
도사동,간동경로당,안풍동,,532,1998,72.56,539,간동새마을회,2020-08-20,,
서면,죽동경로당,서면,운평,530,2007,72.55,225,서면운평리죽동마을회,2020-08-20,,
삼산동,향림현대2차아파트경로당,석현동,,525,1993,59.7,,향림현대2차아파트,2020-08-20,,
도사동,대대경로당,대대동,,525,2012,118.9,319.45,순천시대대남자노인회,2020-08-20,,
상사면,동백경로당,상사면,흘산,519,2004,74.9,,동백새마을회,2020-08-20,,
조곡동,정원넥스빌아파트경로당,조곡동,,512,2003,113.8,113.8,정원넥스,2020-08-20,,
서면,압곡경로당,서면,압곡,509,2012,78.03,1236,압곡리압곡마을회,2020-08-20,,
월등면,섬계경로당,월등면,월림,508,2005,82.47,480,섬계마을회,2020-08-20,,
승주읍,사현경로당,승주읍,서평,501,2007,71.28,190,순천시,2020-08-20,,
송광면,상이읍경로당,송광면,이읍,497,2007,90.72,,상이읍노인정,2020-08-20,,
주암면,구산여자경로당,주암면,구산,482,2005,78.86,487,주암면구산마을회,2020-08-20,,
황전면,덕림경로당,황전면,덕림,471,1998,70.12,196,덕림마을회,2020-08-20,,
서면,덕진경로당,서면,비월,465,2016,65.52,221,덕진발전회,2020-08-20,,
황전면,용서경로당,황전면,금평,458,1985,53.5,93,용서마을회,2020-08-20,,
주암면,고산경로당,주암면,고산,452,2000,76.95,304,송원환산,2020-08-20,,
월등면,이문경로당,월등면,계월,448,2006,83.07,330,이문마을회,2020-08-20,,
황전면,덕계경로당,황전면,봉덕,436,1992,36.45,,덕계마을회,2020-08-20,,
승주읍,남암경로당,승주읍,월계,432,2005,70.65,301,순천시,2020-08-20,,
삼산동,피오레경로당,용당동,,431,2012,73.94,,용당대주피오레아파트,2020-08-20,,
서면,동산경로당,서면,동산,430,2005,84.92,245.35,서면동산리마을회외 1명(김경운),2020-08-20,,
삼산동,가곡대주아파트경로당,가곡동,,429,1996,39.75,,가곡대주아파트,2020-08-20,,
해룡면,신원아르시스경로당,해룡면,상삼,428,2007,92.4,,주식회사신한주택개발,2020-08-20,,
송광면,봉산경로당,송광면,봉산,425,1992,26.74,,송광면봉산리경노회,2020-08-20,,
외서면,도신경로당,외서면,도신,420,1967,94.24,347,박양래,2020-08-20,,
황전면,저촌경로당,황전면,평촌,419,2003,71.56,278,평촌리저촌마을회,2020-08-20,,
덕연동,신기경로당,덕암동,,412,2013,108.86,672,순천시,2020-08-20,,
서면,구상경로당,서면,구상,411,2004,102.24,364,서면구상새마을회,2020-08-20,,
도사동,야흥여자경로당,야흥동,,395,2007,88.54,763,순천시야흥마을회,2020-08-20,,
주암면,창촌경로당,주암면,창촌,385,2004,102.22,584,창촌마을회,2020-08-20,,
낙안면,이곡경로당,낙안면,이곡,382,1989,42,,이곡노인회,2020-08-20,,
낙안면,동림경로당,낙안면,신기,381,2002,75.52,274.03,이창근,2020-08-20,,
월등면,화정경로당,월등면,갈평,380,1997,68,208,월등화정마을회,2020-08-20,,
승주읍,내동경로당,승주읍,서평,370,1994,83.52,289.24,손정현,2020-08-20,,
낙안면,간원경로당,낙안면,창녕,362,2006,82.56,311,김능오,2020-08-20,,
주암면,감성경로당,주암면,갈마,359,2000,76.95,308.72,감성마을회,2020-08-20,,
도사동,호산경로당,덕월동,,344,1989,196.53,457,순천시,2020-08-20,,
남제동,성진아파트경로당,인제동,,342,1991,35.05,,성진아파트,2020-08-20,,
남제동,남정현대아파트경로당,남정동,,335,1991,51,,남정현대아파트,2020-08-20,,
별량면,화산경로당,별량면,죽산,334,2005,85.3,215,화산새마을회,2020-08-20,,
서면,둔대경로당,서면,구만,330,1984,75.24,354,서면둔대마을회,2020-08-20,,
황전면,금평경로당,황전면,금평,316,2000,66.12,379,손정국,2020-08-20,,
상사면,미곡경로당,상사면,도월,304,2005,74.66,200,순천시,2020-08-20,,
별량면,학서경로당,별량면,학산,297,2003,77.28,317.4,학서마을회,2020-08-20,,
상사면,당촌경로당,상사면,흘산,286,2000,91.25,268,흘산리,2020-08-20,,
월등면,명산경로당,월등면,월용,268,2003,72.75,185,이항근,2020-08-20,,
서면,청소경로당,서면,청소,259,2013,81.36,271,서면청소리마을회,2020-08-20,,
삼산동,석현경로당,석현동,,255,1989,74.25,,순천시,2020-08-20,,
낙안면,화원경로당,낙안면,상송,254,2000,68.56,218,상송리화원마을회,2020-08-20,,
서면,장척경로당,서면,학구,240,2007,78.8,280,학구리장척마을회,2020-08-20,,
저전동,저전새마을남자경로당,저전동,,238,1982,180.15,824.1,순천시,2020-08-20,,
저전동,저전새마을여자경로당,저전동,,238,1982,180.15,824.1,순천시,2020-08-20,,
삼산동,중흥파크맨션경로당,석현동,,235,1996,33,,합자회사중흥주택,2020-08-20,,
황전면,도롱경로당,황전면,대치,229,2008,85.5,357,도롱새마을회,2020-08-20,,
황전면,용두경로당,황전면,선변,222,1995,35.91,,"최남석외2인(천병섭,천유복)",2020-08-20,,
주암면,한곡경로당,주암면,한곡,221,1996,91.77,532,한곡리한곡마을회,2020-08-20,,
송광면,덕산경로당,송광면,덕산,221,1996,92.08,443,덕산노인회,2020-08-20,,
삼산동,용당삼성아파트경로당,용당동,,215,1993,125.6,,삼성건설주식회사외 1명,2020-08-20,,
별량면,송산경로당,별량면,송기,209,1983,94.95,829,송산경로회,2020-08-20,,
남제동,남정경로당,남정동,,203,2002,36,113.2,순천시,2020-08-20,,
주암면,비룡경로당,주암면,비룡,193,2006,83.64,350,주암면기룡마을회,2020-08-20,,
남제동,인제경로당,인제동,,191,2004,102.33,173.52,순천시,2020-08-20,,
저전동,우리들경로당,저전동,,172,2005,60.06,95.5,순천시,2020-08-20,,
낙안면,석정경로당,낙안면,석흥,169,2002,75.52,539,석흥리,2020-08-20,,
향동,옥천남자경로당,옥천동,,153,1998,47.3,92,상호계,2020-08-20,,
향동,옥천여자경로당,옥천동,,153,1998,47.3,92,상호계,2020-08-20,,
별량면,금천경로당,별량면,무푼,144,2008,109.22,249,금천마을회,2020-08-20,,
서면,학동경로당,서면,흥대,144,2008,71.62,182,흥대리학동마을회,2020-08-20,,
송광면,효정경로당,송광면,대흥,139,2001,68.56,430,,2020-08-20,,
황전면,외구마을경로당,황전면,봉덕,116,2003,86.68,258,황전면봉덕리외구마을회,2020-08-20,,
황전면,본황경로당,황전면,황학,115,2003,83.9,673,본황마을회,2020-08-20,,
별량면,원산경로당,별량면,죽산,114,1994,72.33,182,최향자,2020-08-20,,
주암면,월봉경로당,주암면,비룡,105,2007,60.24,417,주암면비룡리월봉마을회,2020-08-20,,
향동,순천경로당,영동,,103,2001,102.29,243.54,양노당,2020-08-20,,
해룡면,월전경로당,해룡면,월전,85,2002,82.47,376,월전마을주민회,2020-08-20,,
별량면,진목경로당,별량면,쌍림,74,2002,68.4,549,최락서,2020-08-20,,
덕연동,생목경로당,생목동,,72,1987,137.23,299,순천시,2020-08-20,,
송광면,외송경로당,송광면,신평,69,2008,83.4,233,대한불교조계종송광사,2020-08-20,,
승주읍,죽학경로당,승주읍,죽학,68,1998,78.58,182,죽림마을회,2020-08-20,,
덕연동,벽산첼시빌 경로당,생목동,,59,2000,225.45,,서옥기,2020-08-20,,
왕조1동,대동경로당,왕지동,,47,2009,74.7,366,순천시,2020-08-20,,
별량면,수덕경로당,별량면,덕정,42,1999,89.1,327,수덕새마을회,2020-08-20,,
낙안면,남내경로당,낙안면,남내,38,1975,125.9,,"조용현외3인(김만서, 박우현,이장선)",2020-08-20,,
별량면,창산경로당,별량면,마산,35,2006,121.72,,창산마을회,2020-08-20,,
삼산동,망북경로당,용당동,,32,1995,75.84,246.65,망북부락회관,2020-08-20,,
황전면,괴목여자경로당,황전면,괴목,23,1983,87.78,,괴목새마을회,2020-08-20,,
송광면,오봉경로당,송광면,오봉,22,2004,68.42,344,정광태,2020-08-20,,
향동,노변경로당,삼거동,,12,2006,78.77,688,노변부락마을회,2020-08-20,,
삼산동,석현주공아파트,석현동,,7,2008,65.2,,대한주택공사,2020-08-20,,
