강진군 경로당 현황,,,,
연번,읍면명,경로당명,주소,
125,칠량면,한림와촌 경로당,전라남도 강진군 칠량면 청자로 685-9,
126,칠량면,치산경로당,전라남도 강진군 칠량면 치산길 16-4,
127,칠량면,강동경로당,전라남도 강진군 칠량면 칠량로 68-4,
128,칠량면,칠량면노인회,전라남도 강진군 칠량면 칠량로 72-1,
129,칠량면,월송경로당,전라남도 강진군 칠량면 칠량월송길 45-2,
130,칠량면,학동경로당,전라남도 강진군 칠량면 칠량학동길 53,
131,칠량면,현천경로당,전라남도 강진군 칠량면 현천길 60,
132,대구면,청용경로당,전라남도 강진군 대구면 계율길 117-12,
133,대구면,난산경로당,전라남도 강진군 대구면 계율길 200,
134,대구면,계치경로당,전라남도 강진군 대구면 계율길 39,
135,대구면,남호경로당,전라남도 강진군 대구면 구수리 1187,
136,대구면,구곡경로당,전라남도 강진군 대구면 구수리 812,
137,대구면,미산경로당,전라남도 강진군 대구면 미산길 36,
138,대구면,당전경로당,전라남도 강진군 대구면 사당리 462,
139,대구면,백사경로당,전라남도 강진군 대구면 사당리 514,
140,대구면,수동경로당,전라남도 강진군 대구면 사당리 514,
141,대구면,상저경로당,전라남도 강진군 대구면 상저길 25,
142,대구면,대구노인회,전라남도 강진군 대구면 수동리 998번지 2호,
143,대구면,용문경로당,전라남도 강진군 대구면 용문길 34,
144,대구면,하저경로당,전라남도 강진군 대구면 저두리 396,
145,대구면,항동경로당,전라남도 강진군 대구면 정수사길 317,
146,대구면,중저경로당,전라남도 강진군 대구면 중저길 75,
147,마량면,마량1구경로당,전라남도 강진군 마량면 마량2길 19-1,
148,마량면,마량수연당,전라남도 강진군 마량면 마량3길 13,
149,마량면,마량2구 경로당,전라남도 강진군 마량면 마량5길 26,
150,마량면,마량면 분회,전라남도 강진군 마량면 마량8길 20,
151,마량면,영동경로당,전라남도 강진군 마량면 마량영동로 344-1,
152,마량면,신마경로당,전라남도 강진군 마량면 삼마로 115,
153,마량면,상분경로당,전라남도 강진군 마량면 상분길 15,
154,마량면,서중노인회,전라남도 강진군 마량면 서중길 12,
155,마량면,서중여자경로당,전라남도 강진군 마량면 서중길 13,
156,마량면,수인경로당,전라남도 강진군 마량면 수인안길 9-1,
157,마량면,수인애월당,전라남도 강진군 마량면 수인안길 9-1,
158,마량면,숙마경로당,전라남도 강진군 마량면 숙마길 8,
159,마량면,영춘경로당,전라남도 강진군 마량면 영춘길 3-1,
160,마량면,원포경로당,전라남도 강진군 마량면 원포길 19,
161,마량면,연동경로당,전라남도 강진군 마량면 청자로 2469,
162,마량면,연동여자경로당,전라남도 강진군 마량면 청자로 2469,
163,마량면,상흥노인회,전라남도 강진군 마량면 하분2길 7,
164,도암면,산정경로당,전라남도 강진군 도암면 466,
165,도암면,동령경로당,전라남도 강진군 도암면 756,
166,도암면,가우도경로당,전라남도 강진군 도암면 가우도길 27,
167,도암면,강성경로당,전라남도 강진군 도암면 강성길 10,
168,도암면,계산경로당,전라남도 강진군 도암면 계산길 107,
169,도암면,귀라경로당,전라남도 강진군 도암면 귀라1길 29,
170,도암면,계라벌국 경로당,전라남도 강진군 도암면 귀라2길 5-4,
171,도암면,신기경로당,전라남도 강진군 도암면 기전로 309,
172,도암면,보동여자경로당,전라남도 강진군 도암면 다산수련원길 20,
173,도암면,덕산경로당,전라남도 강진군 도암면 다산초당1길 30-3,
174,도암면,귤동마을 경로당,전라남도 강진군 도암면 다산초당길 42,
175,도암면,만덕경로당,전라남도 강진군 도암면 다산초당길 9,
176,도암면,덕촌경로당,전라남도 강진군 도암면 덕촌길 41,
177,도암면,송학경로당,전라남도 강진군 도암면 도암송학길 91-9,
178,도암면,신리경로당,전라남도 강진군 도암면 도암신리길 56,
179,도암면,영동경로당,전라남도 강진군 도암면 도암영동길 36,
180,도암면,영동2반 경로당,전라남도 강진군 도암면 도암영동길 36,
181,도암면,장촌경로당,전라남도 강진군 도암면 도암중앙로 56-1,
182,도암면,도암여자경로당,전라남도 강진군 도암면 도암중앙로 57-7,
183,도암면,도암분회경로당,전라남도 강진군 도암면 도암중앙로 57-7,
184,도암면,마점경로당,전라남도 강진군 도암면 마점길 3,
185,도암면,만년경로당,전라남도 강진군 도암면 만년길 108,
186,도암면,율포경로당,전라남도 강진군 도암면 만덕간척로 88-8,
187,도암면,만세경로당,전라남도 강진군 도암면 만세길 150,
188,도암면,망호경로당,전라남도 강진군 도암면 망호길 27,
189,도암면,봉황경로당,전라남도 강진군 도암면 봉황로 334-10,
190,도암면,부흥경로당,전라남도 강진군 도암면 부흥길 38,
191,도암면,석천경로당,전라남도 강진군 도암면 석천길 2-1,
192,도암면,성자경로당,전라남도 강진군 도암면 성자길 49,
193,도암면,신덕경로당,전라남도 강진군 도암면 신덕길 124,
194,도암면,신평경로당,전라남도 강진군 도암면 신평길 111,
195,도암면,옥전경로당,전라남도 강진군 도암면 옥전2길 4,
196,도암면,용산경로당,전라남도 강진군 도암면 용산길 65,
197,도암면,용암경로당,전라남도 강진군 도암면 용암길 27,
198,도암면,월하3반경로당,전라남도 강진군 도암면 월하1길 85-11,
199,도암면,월하경로당,전라남도 강진군 도암면 월하안길 26,
200,도암면,지석경로당,전라남도 강진군 도암면 지석마을길 59,
201,도암면,청용경로당,전라남도 강진군 도암면 청룡길 50,
202,도암면,선장경로당,전라남도 강진군 도암면 학장로 153-3,
203,도암면,표장경로당,전라남도 강진군 도암면 학장로 199,
204,도암면,항촌경로당,전라남도 강진군 도암면 항촌안길 7,
205,도암면,회룡경로당,전라남도 강진군 도암면 회룡1길 42-3,
206,도암면,회룡2구 경로당,전라남도 강진군 도암면 회룡2길 67,
207,신전면,노해경로당,전라남도 강진군 신전면 노해길 39,
208,신전면,논정경로당,전라남도 강진군 신전면 논정길 6,
209,신전면,대벌경로당,전라남도 강진군 신전면 대벌길 32,
210,신전면,대월경로당,전라남도 강진군 신전면 대월월해길 79,
211,신전면,백용경로당,전라남도 강진군 신전면 백용길 40,
212,신전면,백화노인회,전라남도 강진군 신전면 백화길 14,
213,신전면,사초경로당,전라남도 강진군 신전면 사초안길 36,
214,신전면,사초여자경로당,전라남도 강진군 신전면 사초앞길 7,
215,신전면,수양경로당,전라남도 강진군 신전면 수양길 90-3,
216,신전면,삼인경로당,전라남도 강진군 신전면 수양리 79-3,
217,신전면,용정경로당,전라남도 강진군 신전면 신전용정길 2-1,
218,신전면,신전경로당,전라남도 강진군 신전면 신전중앙길 15-5,
219,신전면,신정노인회,전라남도 강진군 신전면 신정길 24,
220,신전면,신흥경로당,전라남도 강진군 신전면 신흥길 54,
221,신전면,약천경로당,전라남도 강진군 신전면 약천길 8,
222,신전면,어관경로당,전라남도 강진군 신전면 어관신안길 24,
223,신전면,영수경로당,전라남도 강진군 신전면 영관리 583-3,
224,신전면,부춘경로당,전라남도 강진군 신전면 용월리 1090,
225,신전면,송천노인당,전라남도 강진군 신전면 운주로 359,
226,신전면,봉양경로당,전라남도 강진군 신전면 주작봉양길 41-2,
227,성전면,거목경로당,전라남도 강진군 성전면 거목길 14,
228,성전면,금당경로당,전라남도 강진군 성전면 금당리 230,
229,성전면,강진달빛한옥경로당,전라남도 강진군 성전면 달빛한옥길 2 (달빛한옥마을경로당),
230,성전면,대월경로당,전라남도 강진군 성전면 대월달마지길 136-2,
231,성전면,신예경로당,전라남도 강진군 성전면 도림리 145,
232,성전면,장등경로당,전라남도 강진군 성전면 도림리 453,
233,성전면,도림경로당,전라남도 강진군 성전면 도림리 514,
234,성전면,동령경로당,전라남도 강진군 성전면 동령길 24,
235,성전면,신풍경로당,전라남도 강진군 성전면 두원길 87,
236,성전면,명동경로당,전라남도 강진군 성전면 명산리 369,
237,성전면,당산경로당,전라남도 강진군 성전면 명산리 567,
238,성전면,랑동경로당,전라남도 강진군 성전면 성전리 879,
239,성전면,수양경로당,전라남도 강진군 성전면 성전신기2길 25,
240,성전면,신기경로당,전라남도 강진군 성전면 성전신기2길 6,
241,성전면,신안경로당,전라남도 강진군 성전면 송월리 667,
242,성전면,월송경로당,전라남도 강진군 성전면 송월리 667,
243,성전면,송학경로당,전라남도 강진군 성전면 송학길 123,
244,성전면,수암경로당,전라남도 강진군 성전면 수암길 76,
245,성전면,시천경로당,전라남도 강진군 성전면 시천길 16,
246,성전면,신시경로당,전라남도 강진군 성전면 신시길 16,
247,성전면,영흥경로당,전라남도 강진군 성전면 영흥길 74,
248,성전면,성전면경로당,전라남도 강진군 성전면 예향로 11-4,
249,성전면,원기경로당,전라남도 강진군 성전면 예향로 11-6,
250,성전면,신월경로당,전라남도 강진군 성전면 예향로 745-65,
251,성전면,오산경로당,전라남도 강진군 성전면 오산길 24,
252,성전면,용운경로당,전라남도 강진군 성전면 용운길 46-12,
253,성전면,상월경로당,전라남도 강진군 성전면 월남리 152,
254,성전면,월남경로당,전라남도 강진군 성전면 월남리 887,
255,성전면,월산경로당,전라남도 강진군 성전면 월평리 253-1,
256,성전면,월하경로당,전라남도 강진군 성전면 월하리 233,
257,성전면,안운경로당,전라남도 강진군 성전면 월하안운길 100-14,
258,성전면,제전경로당,전라남도 강진군 성전면 제전길 11,
259,성전면,죽전경로당,전라남도 강진군 성전면 죽전길 11,
260,성전면,처인경로당,전라남도 강진군 성전면 처인1길 11,
261,작천면,갈동경로당,전라남도 강진군 작천면 갈동로1길 3,
262,작천면,구상경로당,전라남도 강진군 작천면 구상길 43,
263,작천면,군자경로당,전라남도 강진군 작천면 군자2길 42,
264,작천면,기동경로당,전라남도 강진군 작천면 기동길 33,
265,작천면,하평경로당,전라남도 강진군 작천면 까치내로 817,
266,작천면,박산경로당,전라남도 강진군 작천면 박산1길 37,
267,작천면,죽현경로당,전라남도 강진군 작천면 박산죽현길 153,
268,작천면,상당경로당,전라남도 강진군 작천면 상당길 13,
269,작천면,야동경로당,전라남도 강진군 작천면 야흥길 43,
270,작천면,용동경로당,전라남도 강진군 작천면 용동길 48,
271,작천면,용정경로당,전라남도 강진군 작천면 용상리 153번지 1호,
272,작천면,이마경로당,전라남도 강진군 작천면 이마길 36,
273,작천면,교동경로당,전라남도 강진군 작천면 이지길 79,
274,작천면,내동경로당,전라남도 강진군 작천면 작천내동길 65,
275,작천면,부흥경로당,전라남도 강진군 작천면 작천부흥길 36,
276,작천면,신기경로당,전라남도 강진군 작천면 작천신기길 62,
277,작천면,작천 풍동경로당,전라남도 강진군 작천면 작천풍동길 13,
278,작천면,죽산경로당,전라남도 강진군 작천면 죽산길 5,
279,작천면,죽산여자경로당,전라남도 강진군 작천면 죽산길 5,
280,작천면,중당경로당,전라남도 강진군 작천면 중당2길 27,
281,작천면,척동경로당,전라남도 강진군 작천면 척동길 60,
282,작천면,토동경로당,전라남도 강진군 작천면 토동1길 27,
283,작천면,퇴동경로당,전라남도 강진군 작천면 퇴동길 39,
284,작천면,상평경로당,전라남도 강진군 작천면 평리3길 22,
285,작천면,작천여자경로당,전라남도 강진군 작천면 평리길 42,
286,작천면,작천경로당,전라남도 강진군 작천면 평리길 42,
287,작천면,부와경로당,전라남도 강진군 작천면 피토골길 3,
288,작천면,하당경로당,전라남도 강진군 작천면 하당2길 1,
289,작천면,학동경로당,전라남도 강진군 작천면 학동길 9,
290,작천면,행정경로당,전라남도 강진군 작천면 행정길 29,
291,작천면,하남경로당,전라남도 강진군 작천면 화방로 663,
292,작천면,상남경로당,전라남도 강진군 작천면 효동1길 8-1,
293,병영면,남삼인경로당,전라남도 강진군 병영면 남삼인길 12,
294,병영면,도룡여자경로당,전라남도 강진군 병영면 도룡길 2,
295,병영면,병영양로당,전라남도 강진군 병영면 동삼인길 11,
296,병영면,발천경로당,전라남도 강진군 병영면 발천길 66,
297,병영면,백양경로당,전라남도 강진군 병영면 백양1길 34,
298,병영면,삭둔경로당,전라남도 강진군 병영면 삭둔길 65,
299,병영면,동삼인경로당,전라남도 강진군 병영면 삼인리 372-2,
300,병영면,신지양로당,전라남도 강진군 병영면 삼인리 568-1,
301,병영면,상고남자경로당,전라남도 강진군 병영면 상고길 21,
302,병영면,상고여자경로당,전라남도 강진군 병영면 상고길 21,
303,병영면,낙산여자경로당,전라남도 강진군 병영면 상낙리 615-1,
304,병영면,상림경로당,전라남도 강진군 병영면 상림길 29,
305,병영면,동성경로당,전라남도 강진군 병영면 성남리 27,
306,병영면,남성경로당,전라남도 강진군 병영면 성동리 161,
307,병영면,용두경로당,전라남도 강진군 병영면 용두길 48,
308,병영면,서삼인경로당,전라남도 강진군 병영면 적벽청류길 33,
309,병영면,중고경로당,전라남도 강진군 병영면 중고리 197-1,
310,병영면,중고여자경로당,전라남도 강진군 병영면 중고리 197-1,
311,병영면,중가경로당,전라남도 강진군 병영면 중고리 286,
312,병영면,하고수성경로당,전라남도 강진군 병영면 하고길 31,
313,병영면,하고여자경로당,전라남도 강진군 병영면 하고길 37,
314,병영면,학사경로당,전라남도 강진군 병영면 학사안길 14,
315,병영면,성남경로당,전라남도 강진군 병영면 한골목길 13-1,
316,병영면,병영여자경로당,전라남도 강진군 병영면 한골목길 23,
317,병영면,박동경로당,전라남도 강진군 병영면 한골목길 52-1,
318,병영면,지로경로당,전라남도 강진군 병영면 한골목길 98-2,
319,병영면,한림여자경로당,전라남도 강진군 병영면 한학리 403-1,
320,병영면,한림양로당,전라남도 강진군 병영면 한학리 426,
321,옴천면,옴천면경로당,전라남도 강진군 옴천면 개산중앙길 15-2,
322,옴천면,좌척경로당,전라남도 강진군 옴천면 기좌로 328,
323,옴천면,사동경로당,전라남도 강진군 옴천면 사동길 36,
324,옴천면,송용경로당,전라남도 강진군 옴천면 송용길 34,
325,옴천면,연동경로당,전라남도 강진군 옴천면 연동길 1,
326,옴천면,영복경로당,전라남도 강진군 옴천면 영복길 51,
327,옴천면,계원남자경로당,전라남도 강진군 옴천면 영산길 6,
328,옴천면,계원여자경로당,전라남도 강진군 옴천면 영산길 6,
329,옴천면,오곡경로당,전라남도 강진군 옴천면 오곡길 25,
330,옴천면,대곡경로당,전라남도 강진군 옴천면 옴천대곡길 71,
331,옴천면,개산경로당,전라남도 강진군 옴천면 옴천중앙로 87-1,
332,옴천면,구곡경로당,전라남도 강진군 옴천면 월곡길 132-7,
333,옴천면,월곡경로당,전라남도 강진군 옴천면 월곡길 204,
334,옴천면,정동경로당,전라남도 강진군 옴천면 정동길 84,
335,옴천면,죽림경로당,전라남도 강진군 옴천면 죽림길 7-14,
336,옴천면,황곡경로당,전라남도 강진군 옴천면 황곡길 13,
337,옴천면,동막경로당,전라남도 강진군 옴천면 황막길 106,
338,옴천면,화신경로당,전라남도 강진군 옴천면 황막길 11,
