Longitude,Latitude,fid,NUMPOINTS
126.3256984,34.8990095,1532,4
126.3300341,34.9010557,1520,5
126.3321587,34.8946736,1527,4
126.3383854,34.8984283,1524,3
126.3385875,34.8518655,1525,3
126.342134,34.8250103,1512,3
126.3506495,34.8268422,1515,7
126.3512779,34.8609977,1534,3
126.3525474,34.8335723,1536,7
126.3573674,34.8403877,1509,5
126.3616687,34.8468201,1516,2
126.3656896,34.8741429,1533,0
126.3659823,34.8739999,1557,0
126.3783188,35.1608809,1116,0
126.3814939,35.1687513,1113,7
126.3906958,35.1526854,1115,5
126.3914506,35.1651282,1114,5
126.3926877,35.1377823,1124,5
126.3946664,35.1540774,1112,5
126.4035059,35.1381408,1129,6
126.4038715,35.1711673,1117,4
126.4078648,35.1549492,1125,9
126.4087319,35.1552274,1444,11
126.411034,35.1604384,1118,9
126.4141447,35.1455488,1127,8
126.4175541,35.1588662,1119,9
126.4180827,35.1516896,1128,9
126.4192504,35.1402824,1122,10
126.4203866,35.1249728,1158,18
126.4207101,35.126403,1156,18
126.423029,35.1693596,1120,4
126.423751,35.1320744,1160,10
126.4240236,35.1235357,1151,20
126.4250877,35.1270178,1157,20
126.4252432,35.1199048,1152,24
126.4254884,35.1197629,1443,24
126.4281366,35.1636431,1121,4
126.4282972,35.1119618,1148,12
126.4286797,35.1105566,1146,12
126.4291427,35.1098976,1428,12
126.4293522,35.1301503,1159,19
126.43261,35.1234325,1150,20
126.4421018,35.1374165,1153,6
126.4455003,35.1074305,1147,6
126.4483367,35.1759949,1164,2
126.4493585,35.083535,1100,6
126.4559748,35.1360393,1137,4
126.4569913,35.1353269,1138,4
126.4580908,35.1041707,1149,6
126.4587592,35.1838172,1162,11
126.4604769,35.120408,1144,4
126.4605073,35.170763,1168,9
126.4612289,35.0844298,1101,10
126.4613068,35.0787046,1111,6
126.4613937,35.0819632,1442,6
126.4614277,35.1650233,1169,9
126.4627998,35.1846671,1163,11
126.4630311,35.0953859,1097,10
126.463403,35.094984,1099,11
126.4636507,35.1452159,1134,10
126.463956,35.17876,1165,11
126.4640578,35.0926841,1098,11
126.466155,35.1135568,1145,8
126.46639,35.0992619,1141,11
126.4678568,35.1032932,1142,2
126.468469,35.1503181,1135,12
126.4694817,35.1314579,1139,6
126.4700164,35.1222092,1161,6
126.4707675,35.1692895,1446,11
126.4715138,35.0936851,1104,13
126.4715871,35.168896,1167,11
126.4731049,35.0395362,1081,8
126.4737373,35.0358829,1083,8
126.4738408,35.1393283,1136,10
